Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985,Michael Jordan,SG,21,CHI,82,82,38.3,10.2,19.8,.515,0.1,0.6,.173,10.1,19.2,.526,.518,7.7,9.1,.845,2.0,4.5,6.5,5.9,2.4,0.8,3.5,3.5,28.2
1986,Michael Jordan,SG,22,CHI,18,7,25.1,8.3,18.2,.457,0.2,1.0,.167,8.2,17.2,.474,.462,5.8,6.9,.840,1.3,2.3,3.6,2.9,2.1,1.2,2.5,2.6,22.7
1987,Michael Jordan*,SG,23,CHI,82,82,40.0,13.4,27.8,.482,0.1,0.8,.182,13.2,27.0,.491,.484,10.2,11.9,.857,2.0,3.2,5.2,4.6,2.9,1.5,3.3,2.9,37.1
1988,Michael Jordan*,SG,24,CHI,82,82,40.4,13.0,24.4,.535,0.1,0.6,.132,13.0,23.7,.546,.537,8.8,10.5,.841,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,35.0
1989,Michael Jordan*,SG,25,CHI,81,81,40.2,11.9,22.2,.538,0.3,1.2,.276,11.6,21.0,.553,.546,8.3,9.8,.850,1.8,6.2,8.0,8.0,2.9,0.8,3.6,3.0,32.5
1990,Michael Jordan*,SG,26,CHI,82,82,39.0,12.6,24.0,.526,1.1,3.0,.376,11.5,21.0,.548,.550,7.2,8.5,.848,1.7,5.1,6.9,6.3,2.8,0.7,3.0,2.9,33.6
1991,Michael Jordan*,SG,27,CHI,82,82,37.0,12.1,22.4,.539,0.4,1.1,.312,11.7,21.3,.551,.547,7.0,8.2,.851,1.4,4.6,6.0,5.5,2.7,1.0,2.5,2.8,31.5
1992,Michael Jordan*,SG,28,CHI,80,80,38.8,11.8,22.7,.519,0.3,1.3,.270,11.5,21.5,.533,.526,6.1,7.4,.832,1.1,5.3,6.4,6.1,2.3,0.9,2.5,2.5,30.1
1993,Michael Jordan*,SG,29,CHI,78,78,39.3,12.7,25.7,.495,1.0,2.9,.352,11.7,22.7,.514,.515,6.1,7.3,.837,1.7,5.0,6.7,5.5,2.8,0.8,2.7,2.4,32.6
1994,Michael Jordan*,SG,31,CHI,17,17,39.3,9.8,23.8,.411,0.9,1.9,.500,8.8,21.9,.403,.431,6.4,8.0,.801,1.5,5.4,6.9,5.3,1.8,0.8,2.1,2.8,26.9
